Recency,Frequency,Monetary,Cluster,segments
79,5,2634.26,0,low-engaged
143,1,599.68,1,churned
39,2,192.72,0,low-engaged
19,11,1789.77,0,low-engaged
9,8,4485.72,0,low-engaged
1,3,1316.66,0,low-engaged
82,3,348.71,0,low-engaged
9,6,1933.48,0,low-engaged
60,4,1662.28,0,low-engaged
15,1,125.22,0,low-engaged
30,1,349.83,0,low-engaged
131,1,1089.18,0,low-engaged
92,2,716.35,0,low-engaged
43,3,12601.83,0,low-engaged
29,1,363.95,0,low-engaged
22,4,5568.35,0,low-engaged
20,17,13400.24,3,Regulars
30,3,981.18,0,low-engaged
36,1,372.7,0,low-engaged
75,2,1000.39,0,low-engaged
47,2,1161.5,0,low-engaged
198,2,207.8,1,churned
166,1,95.2,1,churned
79,1,964.83,0,low-engaged
358,1,168,1,churned
39,2,437.82,0,low-engaged
8,10,3692.28,0,low-engaged
50,2,603.71,0,low-engaged
16,5,11990.96,0,low-engaged
8,1,269.96,0,low-engaged
311,2,561.71,1,churned
5,3,2134.01,0,low-engaged
303,1,238.85,1,churned
8,7,3781.74,0,low-engaged
261,1,456.9,1,churned
289,1,145.92,1,churned
86,1,351.65,0,low-engaged
23,10,9401.28,0,low-engaged
2,32,4124.69,3,Regulars
40,2,519.61,0,low-engaged
9,2,1020.42,0,low-engaged
227,1,160.54,1,churned
316,1,218.45,1,churned
36,5,1315.83,0,low-engaged
35,3,657.8,0,low-engaged
21,2,2794.51,0,low-engaged
78,1,440.42,0,low-engaged
247,1,415.7,1,churned
40,1,197.71,0,low-engaged
239,2,511.36,1,churned
3,15,7281.38,3,Regulars
4,9,2338.15,0,low-engaged
234,2,2040.1,1,churned
17,1,196.94,0,low-engaged
8,1,144,0,low-engaged
39,1,214.9,0,low-engaged
29,2,646.68,0,low-engaged
211,2,9864.26,1,churned
317,1,452.85,1,churned
92,2,437.6,0,low-engaged
109,3,418.1,0,low-engaged
38,10,3338.22,0,low-engaged
51,2,618.27,0,low-engaged
19,4,3811.22,0,low-engaged
10,8,3023.08,0,low-engaged
29,7,1032.58,0,low-engaged
29,10,2599.04,0,low-engaged
190,5,577.06,1,churned
59,1,153.12,0,low-engaged
22,1,739.2,0,low-engaged
79,2,254.18,0,low-engaged
60,1,1579.51,0,low-engaged
78,3,1126.85,0,low-engaged
23,5,2099.54,0,low-engaged
52,1,1193.32,0,low-engaged
74,1,704.04,0,low-engaged
57,5,3344.38,0,low-engaged
278,1,315.6,1,churned
2,4,2291.19,0,low-engaged
95,2,713.3,0,low-engaged
29,1,355.53,0,low-engaged
22,1,177.31,0,low-engaged
16,9,3641.24,0,low-engaged
15,3,1339.41,0,low-engaged
2,20,13689.67,3,Regulars
232,1,180.1,1,churned
276,1,305.1,1,churned
106,2,641.13,0,low-engaged
212,2,2683.82,1,churned
23,9,6620.48,0,low-engaged
11,7,4478.53,0,low-engaged
4,3,786.46,0,low-engaged
10,2,1270.88,0,low-engaged
57,1,640.5,0,low-engaged
59,4,2163.98,0,low-engaged
90,2,1689.18,0,low-engaged
67,8,6021.9,0,low-engaged
33,1,671.69,0,low-engaged
239,1,486.1,1,churned
24,3,1174.58,0,low-engaged
115,1,185.9,0,low-engaged
25,3,1013.26,0,low-engaged
128,6,3344.64,0,low-engaged
130,1,477.91,0,low-engaged
34,4,1775.18,0,low-engaged
5,2,1346.97,0,low-engaged
22,12,3722.82,0,low-engaged
155,1,318.05,1,churned
107,3,623.51,0,low-engaged
3,1,314.44,0,low-engaged
335,1,114,1,churned
331,1,919.98,1,churned
149,2,2209.85,1,churned
11,5,601.98,0,low-engaged
17,5,4051.17,0,low-engaged
11,4,1643.18,0,low-engaged
19,1,686.05,0,low-engaged
30,1,91.68,0,low-engaged
11,1,245.1,0,low-engaged
1,11,3849.78,0,low-engaged
8,9,4881.88,0,low-engaged
325,1,63,1,churned
58,1,620.13,0,low-engaged
12,4,3807.15,0,low-engaged
151,3,2744.03,1,churned
10,5,2996.05,0,low-engaged
330,1,225.9,1,churned
5,2,610.52,0,low-engaged
39,4,1970.6,0,low-engaged
25,6,1331.39,0,low-engaged
42,12,17628.46,3,Regulars
59,4,1113.02,0,low-engaged
1,4,862.81,0,low-engaged
15,22,13787.54,3,Regulars
4,31,12288.22,3,Regulars
4,15,8476.57,3,Regulars
8,7,2283.63,0,low-engaged
28,6,2863.08,0,low-engaged
372,1,89.14,1,churned
114,1,4873.81,0,low-engaged
26,2,1247.61,0,low-engaged
206,1,389.01,1,churned
28,6,1035.8,0,low-engaged
127,4,855.91,0,low-engaged
70,2,869.67,0,low-engaged
7,4,582.1,0,low-engaged
29,3,957.59,0,low-engaged
8,4,4939.99,0,low-engaged
80,2,797.71,0,low-engaged
20,1,219,0,low-engaged
71,1,283.55,0,low-engaged
7,8,2340.84,0,low-engaged
15,9,6868.29,0,low-engaged
292,1,603.42,1,churned
30,10,2712.91,0,low-engaged
15,15,9736.52,3,Regulars
97,3,1149.02,0,low-engaged
29,13,4396.13,0,low-engaged
1,1,848.55,0,low-engaged
9,5,4708.86,0,low-engaged
106,1,353.86,0,low-engaged
4,2,1053.49,0,low-engaged
151,2,1030.98,1,churned
71,1,238.25,0,low-engaged
5,2,644.95,0,low-engaged
3,25,5781.73,3,Regulars
32,6,2656.13,0,low-engaged
85,4,997.63,0,low-engaged
4,5,725.07,0,low-engaged
5,4,1031.41,0,low-engaged
371,1,427.8,1,churned
28,7,2609.1,0,low-engaged
11,7,3980.7,0,low-engaged
71,4,836.33,0,low-engaged
114,1,453.01,0,low-engaged
24,12,18895.91,3,Regulars
180,1,236.26,1,churned
234,1,383.95,1,churned
353,1,110.4,1,churned
315,2,779.57,1,churned
333,1,234,1,churned
372,1,155.35,1,churned
78,2,1013.04,0,low-engaged
64,1,427.6,0,low-engaged
134,2,546.43,0,low-engaged
52,7,21279.29,3,Regulars
2,11,4196.01,0,low-engaged
1,209,33719.73,2,vip
4,5,4090.88,0,low-engaged
129,1,275.88,0,low-engaged
81,1,4366.78,0,low-engaged
23,6,21429.39,0,low-engaged
236,3,3010.74,1,churned
281,2,3811.95,1,churned
87,1,112.08,0,low-engaged
16,13,7857.1,3,Regulars
117,2,2791.59,0,low-engaged
52,3,1531.44,0,low-engaged
8,2,1898.52,0,low-engaged
138,2,494.08,0,low-engaged
317,1,1693.88,1,churned
4,7,6989.63,0,low-engaged
239,1,1143.6,1,churned
211,1,1351.45,1,churned
60,1,892.47,0,low-engaged
17,5,1386.04,0,low-engaged
20,6,822.23,0,low-engaged
38,8,3981.36,0,low-engaged
64,2,826.74,0,low-engaged
5,5,2330.92,0,low-engaged
2,6,2225.91,0,low-engaged
9,2,574.42,0,low-engaged
364,1,311.95,1,churned
10,3,463.66,0,low-engaged
65,1,91.85,0,low-engaged
192,1,324.92,1,churned
374,1,192.6,1,churned
257,1,400.54,1,churned
335,2,545.48,1,churned
53,2,860.41,0,low-engaged
19,1,430.48,0,low-engaged
366,1,254.03,1,churned
10,3,6977.04,0,low-engaged
187,1,427.58,1,churned
37,3,483.65,0,low-engaged
178,1,489.31,1,churned
261,3,514.85,1,churned
45,1,229.64,0,low-engaged
102,1,125.92,0,low-engaged
148,2,1063.46,1,churned
96,2,572.2,0,low-engaged
281,1,166.04,1,churned
262,1,1542.08,1,churned
3,4,942.34,0,low-engaged
214,1,92.72,1,churned
71,2,948.88,0,low-engaged
75,5,1759.5,0,low-engaged
60,1,397.12,0,low-engaged
3,7,1474.72,0,low-engaged
6,3,430.15,0,low-engaged
3,6,1018.71,0,low-engaged
337,2,293,1,churned
38,6,6814.64,0,low-engaged
262,1,215.05,1,churned
32,2,383.03,0,low-engaged
145,1,417.38,1,churned
283,1,312.38,1,churned
59,4,2612.86,0,low-engaged
173,1,134.1,1,churned
34,2,683.13,0,low-engaged
3,14,5591.42,3,Regulars
144,4,2726.77,0,low-engaged
5,25,4022.35,3,Regulars
70,2,1118.99,0,low-engaged
66,8,1702.26,0,low-engaged
29,2,325.96,0,low-engaged
267,4,354.09,1,churned
22,1,871.54,0,low-engaged
31,2,1050.89,0,low-engaged
97,1,135.18,0,low-engaged
295,1,311.55,1,churned
135,6,1957.1,0,low-engaged
79,3,1324.5,0,low-engaged
373,1,38.1,1,churned
8,6,2179.93,0,low-engaged
211,2,1106.4,1,churned
52,1,521.2,0,low-engaged
138,1,147.12,0,low-engaged
26,2,1568.23,0,low-engaged
283,1,559.12,1,churned
26,7,4036.82,0,low-engaged
186,6,1607.06,1,churned
84,2,380.64,0,low-engaged
327,2,599.97,1,churned
282,1,374,1,churned
143,2,343.23,0,low-engaged
58,2,2218.02,0,low-engaged
4,12,1535.77,0,low-engaged
236,2,854.99,1,churned
45,3,573.22,0,low-engaged
276,1,298,1,churned
9,2,1463.04,0,low-engaged
25,4,703.47,0,low-engaged
88,1,309.05,0,low-engaged
63,3,1175.22,0,low-engaged
68,2,1378.4,0,low-engaged
214,2,354.12,1,churned
24,1,380.47,0,low-engaged
186,3,331,1,churned
31,1,188.14,0,low-engaged
42,2,372.8,0,low-engaged
205,2,216.5,1,churned
9,28,17654.54,3,Regulars
265,1,138.68,1,churned
18,2,509.58,0,low-engaged
12,5,2919.81,0,low-engaged
176,2,750,1,churned
40,5,2178.67,0,low-engaged
23,8,3075.04,0,low-engaged
3,5,1662.3,0,low-engaged
5,5,2483.63,0,low-engaged
149,2,363.65,1,churned
139,4,3006.15,0,low-engaged
128,1,594,0,low-engaged
8,6,1335.19,0,low-engaged
17,1,164.23,0,low-engaged
9,37,16587.09,3,Regulars
161,1,405.38,1,churned
64,1,176.97,0,low-engaged
88,4,933.7,0,low-engaged
5,2,694.05,0,low-engaged
35,5,2062.7,0,low-engaged
312,1,117.85,1,churned
78,2,415.8,0,low-engaged
22,15,42055.96,3,Regulars
24,3,607.53,0,low-engaged
2,7,2160.7,0,low-engaged
17,4,1063.9,0,low-engaged
15,4,1504.27,0,low-engaged
26,1,114.14,0,low-engaged
64,8,11581.8,0,low-engaged
55,2,913.54,0,low-engaged
131,3,683.9,0,low-engaged
36,2,604.51,0,low-engaged
288,1,462.95,1,churned
144,6,1603.99,0,low-engaged
16,7,2064.95,0,low-engaged
31,8,4167.22,0,low-engaged
2,3,1843,0,low-engaged
9,6,1064.07,0,low-engaged
6,4,1387.79,0,low-engaged
10,1,329.85,0,low-engaged
1,11,4757.16,0,low-engaged
306,1,108.07,1,churned
10,8,4017.54,0,low-engaged
7,2,266.39,0,low-engaged
8,8,1856.63,0,low-engaged
89,1,771.91,0,low-engaged
10,1,160.18,0,low-engaged
358,2,1660.9,1,churned
112,1,135.95,0,low-engaged
7,4,452.24,0,low-engaged
4,86,11189.91,3,Regulars
198,1,144.8,1,churned
212,1,738.6,1,churned
156,1,39.24,1,churned
158,9,7374.9,0,low-engaged
30,2,372.22,0,low-engaged
243,1,390.54,1,churned
19,1,97.5,0,low-engaged
1,2,1239.38,0,low-engaged
74,2,558.7,0,low-engaged
292,1,535.32,1,churned
3,15,6924.11,3,Regulars
31,3,409.5,0,low-engaged
23,2,503.76,0,low-engaged
23,4,414.76,0,low-engaged
4,3,974.42,0,low-engaged
85,1,211.32,0,low-engaged
22,4,1226.89,0,low-engaged
196,3,455.88,1,churned
107,3,534.85,0,low-engaged
4,13,9818.82,3,Regulars
318,1,120.95,1,churned
106,3,149.05,0,low-engaged
12,18,5655.91,3,Regulars
174,2,513.7,1,churned
56,1,81.57,0,low-engaged
323,1,229.47,1,churned
372,1,50.55,1,churned
9,8,1661.84,0,low-engaged
1,13,4810.94,0,low-engaged
11,10,3466.28,0,low-engaged
53,5,3346.28,0,low-engaged
73,3,789.89,0,low-engaged
7,1,204,0,low-engaged
16,28,7277.7,3,Regulars
4,9,2616.38,0,low-engaged
64,2,689.9,0,low-engaged
1,5,975.36,0,low-engaged
114,6,6912,0,low-engaged
23,2,661.32,0,low-engaged
31,3,1247.5,0,low-engaged
11,2,799.48,0,low-engaged
52,2,1010.18,0,low-engaged
357,1,190.55,1,churned
55,2,642.77,0,low-engaged
74,2,921.88,0,low-engaged
138,3,881.07,0,low-engaged
80,3,908.46,0,low-engaged
9,2,676.99,0,low-engaged
273,1,516.42,1,churned
291,1,560.47,1,churned
99,1,305.28,0,low-engaged
31,2,629.31,0,low-engaged
32,10,3237.54,0,low-engaged
14,4,1835.91,0,low-engaged
64,2,656.68,0,low-engaged
15,17,5836.86,3,Regulars
212,1,348.15,1,churned
78,3,1214.41,0,low-engaged
25,3,271.4,0,low-engaged
250,1,183.4,1,churned
254,1,307.53,1,churned
72,1,248.61,0,low-engaged
191,1,346.98,1,churned
13,4,1119.49,0,low-engaged
373,1,205.86,1,churned
24,2,470.8,0,low-engaged
82,1,115.46,0,low-engaged
10,2,344,0,low-engaged
1,24,4436.12,3,Regulars
192,1,228.8,1,churned
267,1,177.15,1,churned
130,1,919.61,0,low-engaged
1,4,729.27,0,low-engaged
3,26,12627.94,3,Regulars
4,5,220.1,0,low-engaged
179,1,58.08,1,churned
12,11,28337.38,3,Regulars
126,9,3613.63,0,low-engaged
4,2,303.75,0,low-engaged
158,2,416.08,1,churned
3,97,58825.83,2,vip
9,14,8910.82,3,Regulars
28,1,345.82,0,low-engaged
71,5,477.83,0,low-engaged
276,8,7832.47,1,churned
21,12,1927.32,0,low-engaged
71,1,74.4,0,low-engaged
33,10,6010.42,0,low-engaged
1,28,28882.44,3,Regulars
99,1,207.36,0,low-engaged
234,1,101.19,1,churned
1,24,6424.09,3,Regulars
40,1,243.94,0,low-engaged
3,6,1098.48,0,low-engaged
133,1,76.5,0,low-engaged
44,4,1531.62,0,low-engaged
373,1,350.06,1,churned
60,2,786.54,0,low-engaged
31,7,1488.67,0,low-engaged
1,24,12245.96,3,Regulars
12,4,2294.78,0,low-engaged
138,1,501.14,0,low-engaged
22,8,984.91,0,low-engaged
20,5,1197.81,0,low-engaged
239,1,30.6,1,churned
269,1,283.73,1,churned
94,2,922.39,0,low-engaged
90,3,3866.33,0,low-engaged
5,8,2099.64,0,low-engaged
78,1,259.17,0,low-engaged
94,1,64,0,low-engaged
23,3,1073.3,0,low-engaged
262,1,77.3,1,churned
274,2,109.8,1,churned
86,4,1793.58,0,low-engaged
197,1,3096,1,churned
56,5,2607.61,0,low-engaged
11,8,3650.41,0,low-engaged
22,6,962.39,0,low-engaged
16,7,5064.94,0,low-engaged
108,3,423.72,0,low-engaged
85,5,2388.75,0,low-engaged
19,1,307.09,0,low-engaged
333,1,110.95,1,churned
40,4,618.52,0,low-engaged
26,1,228.91,0,low-engaged
10,4,712.8,0,low-engaged
29,12,3707.12,0,low-engaged
14,4,1676.06,0,low-engaged
296,1,1257.87,1,churned
6,1,486.22,0,low-engaged
33,4,971.76,0,low-engaged
49,4,1741.22,0,low-engaged
95,4,1201.06,0,low-engaged
9,4,1437.85,0,low-engaged
22,1,91.8,0,low-engaged
313,1,112.75,1,churned
122,4,1688.29,0,low-engaged
46,2,1021.48,0,low-engaged
283,1,417.2,1,churned
19,4,791.33,0,low-engaged
36,4,1319.19,0,low-engaged
64,2,712.88,0,low-engaged
27,1,116.01,0,low-engaged
22,3,468.41,0,low-engaged
4,2,353.65,0,low-engaged
16,3,2817.03,0,low-engaged
46,1,492.84,0,low-engaged
65,1,282.45,0,low-engaged
26,11,5725.47,0,low-engaged
45,1,121.18,0,low-engaged
8,9,3957.78,0,low-engaged
15,10,1701.29,0,low-engaged
268,1,71.4,1,churned
40,3,1575.89,0,low-engaged
337,1,236.02,1,churned
11,1,114.6,0,low-engaged
19,2,260.68,0,low-engaged
95,2,911.94,0,low-engaged
61,1,117.88,0,low-engaged
136,1,60.7,0,low-engaged
11,4,1797.78,0,low-engaged
10,6,3401.24,0,low-engaged
4,38,9817.12,3,Regulars
19,4,870.09,0,low-engaged
10,4,869.46,0,low-engaged
15,2,250.26,0,low-engaged
59,6,1223.9,0,low-engaged
30,8,5891.61,0,low-engaged
94,1,353.48,0,low-engaged
10,3,1197.42,0,low-engaged
20,3,788.08,0,low-engaged
57,5,1520.58,0,low-engaged
268,1,333.74,1,churned
122,3,533.98,0,low-engaged
127,1,62.64,0,low-engaged
78,4,819.29,0,low-engaged
240,2,847.41,1,churned
200,2,163.2,1,churned
60,2,2155.95,0,low-engaged
3,7,6463.84,0,low-engaged
273,1,108.21,1,churned
202,1,257.7,1,churned
81,1,358,0,low-engaged
226,1,160.95,1,churned
4,14,2806.97,0,low-engaged
13,7,1357.6,0,low-engaged
74,2,605.12,0,low-engaged
212,1,1031.07,1,churned
25,2,744.85,0,low-engaged
17,4,700.73,0,low-engaged
262,1,329.56,1,churned
96,4,663.65,0,low-engaged
112,3,270.4,0,low-engaged
203,1,600.07,1,churned
93,1,121.74,0,low-engaged
51,1,430.5,0,low-engaged
18,6,1987.3,0,low-engaged
18,4,501.12,0,low-engaged
125,2,465.68,0,low-engaged
92,3,711.41,0,low-engaged
157,2,1030.4,1,churned
9,2,399.51,0,low-engaged
12,3,698.58,0,low-engaged
62,1,292.32,0,low-engaged
61,1,557.62,0,low-engaged
269,2,944.1,1,churned
263,1,200.29,1,churned
1,35,7454.07,3,Regulars
53,5,2107.66,0,low-engaged
11,12,3834.26,0,low-engaged
3,19,4521.49,3,Regulars
18,11,3214.69,0,low-engaged
1,15,5346.23,3,Regulars
366,1,590,1,churned
37,1,217.38,0,low-engaged
31,2,276.56,0,low-engaged
113,1,138.98,0,low-engaged
64,2,590.93,0,low-engaged
16,4,258.4,0,low-engaged
41,1,542.73,0,low-engaged
78,1,137.75,0,low-engaged
122,3,814.86,0,low-engaged
18,3,1132.14,0,low-engaged
60,2,93.66,0,low-engaged
331,1,201.19,1,churned
23,4,2709.12,0,low-engaged
156,1,361.11,1,churned
39,2,578.94,0,low-engaged
190,2,873.74,1,churned
360,1,201.2,1,churned
137,1,87.4,0,low-engaged
8,4,2089.85,0,low-engaged
1,1,360,0,low-engaged
268,1,142.5,1,churned
169,1,371.89,1,churned
104,4,618.09,0,low-engaged
155,1,63.75,1,churned
351,1,300.42,1,churned
4,10,2000.86,0,low-engaged
120,1,15,0,low-engaged
23,3,1385.51,0,low-engaged
7,5,1456.79,0,low-engaged
28,3,1132.03,0,low-engaged
4,2,598.57,0,low-engaged
22,5,1555.32,0,low-engaged
2,3,775.94,0,low-engaged
37,4,5977.73,0,low-engaged
66,6,2273.68,0,low-engaged
1,3,640.76,0,low-engaged
5,26,10845.55,3,Regulars
78,4,1548.7,0,low-engaged
72,2,567.36,0,low-engaged
17,1,199.48,0,low-engaged
3,5,787.85,0,low-engaged
36,10,7121.95,0,low-engaged
82,1,675.3,0,low-engaged
39,8,3627.77,0,low-engaged
316,1,1308.48,1,churned
32,2,789,0,low-engaged
93,3,1140.93,0,low-engaged
14,1,350.9,0,low-engaged
82,3,3536.82,0,low-engaged
77,1,795.12,0,low-engaged
158,1,487.02,1,churned
201,1,860.12,1,churned
45,7,10736.48,0,low-engaged
261,1,775.85,1,churned
178,1,353.43,1,churned
68,3,2543.72,0,low-engaged
288,1,389.5,1,churned
70,1,341.36,0,low-engaged
64,1,233.76,0,low-engaged
11,1,247.32,0,low-engaged
16,2,979.12,0,low-engaged
66,1,373.94,0,low-engaged
60,1,397.98,0,low-engaged
71,1,743.53,0,low-engaged
122,1,674.7,0,low-engaged
80,1,768.24,0,low-engaged
257,1,609.95,1,churned
269,1,439.03,1,churned
64,1,439.56,0,low-engaged
9,4,3090.74,0,low-engaged
18,2,992.5,0,low-engaged
71,1,134.96,0,low-engaged
34,2,2225.37,0,low-engaged
50,1,56.16,0,low-engaged
257,2,623.4,1,churned
366,1,308.28,1,churned
372,1,754.87,1,churned
90,1,378.64,0,low-engaged
61,3,3312.25,0,low-engaged
89,1,778.65,0,low-engaged
99,3,1019.76,0,low-engaged
26,3,572.56,0,low-engaged
32,6,3639.31,0,low-engaged
281,1,222.99,1,churned
31,7,4151.93,0,low-engaged
330,1,534.57,1,churned
131,2,677.1,0,low-engaged
11,3,797.96,0,low-engaged
75,1,544.08,0,low-engaged
204,1,59.8,1,churned
2,8,2520.02,0,low-engaged
185,1,307.72,1,churned
29,2,1360.99,0,low-engaged
73,5,1544.13,0,low-engaged
192,1,457.34,1,churned
127,2,621.23,0,low-engaged
18,1,75,0,low-engaged
1,2,252.49,0,low-engaged
74,3,572.451,0,low-engaged
2,62,28117.04,3,Regulars
24,5,1003.06,0,low-engaged
107,1,213.55,0,low-engaged
134,3,1390.5,0,low-engaged
44,2,712.5,0,low-engaged
5,2,640.83,0,low-engaged
12,18,6127.43,3,Regulars
64,1,221.06,0,low-engaged
150,2,159.85,1,churned
40,2,1851.08,0,low-engaged
64,1,2626.3,0,low-engaged
108,3,1624.21,0,low-engaged
1,10,3641.32,0,low-engaged
19,3,582.6,0,low-engaged
10,1,218.47,0,low-engaged
11,4,1006.8,0,low-engaged
19,2,679.45,0,low-engaged
67,2,1269.1,0,low-engaged
74,2,534.24,0,low-engaged
5,7,3809.89,0,low-engaged
2,1,196.89,0,low-engaged
14,7,3408.06,0,low-engaged
255,1,283.71,1,churned
92,1,296.64,0,low-engaged
23,3,1129.14,0,low-engaged
17,6,3539.37,0,low-engaged
24,1,291.88,0,low-engaged
27,6,2043.72,0,low-engaged
26,5,2976.15,0,low-engaged
259,2,590,1,churned
166,2,356.98,1,churned
25,2,1058.34,0,low-engaged
18,6,1766.72,0,low-engaged
7,14,9646.57,3,Regulars
29,2,183.44,0,low-engaged
39,3,1445,0,low-engaged
253,1,151.5,1,churned
58,1,674.68,0,low-engaged
184,1,307.9,1,churned
11,2,1083.71,0,low-engaged
2,37,5704.97,3,Regulars
99,2,165,0,low-engaged
1,4,2531.58,0,low-engaged
61,2,422.64,0,low-engaged
236,1,229.59,1,churned
191,4,1431.78,1,churned
179,2,1238.47,1,churned
38,6,1454.58,0,low-engaged
201,2,300.95,1,churned
46,5,1804.56,0,low-engaged
232,1,184.64,1,churned
66,1,140.34,0,low-engaged
241,1,313.8,1,churned
233,1,454.24,1,churned
78,3,1122.41,0,low-engaged
58,3,575.4,0,low-engaged
17,13,8968.31,3,Regulars
105,4,449.52,0,low-engaged
52,10,1215.82,0,low-engaged
136,3,1269.84,0,low-engaged
275,2,618.63,1,churned
312,1,316.26,1,churned
8,5,2044.87,0,low-engaged
11,2,653.33,0,low-engaged
283,2,348.05,1,churned
18,5,1159.11,0,low-engaged
23,3,1166.77,0,low-engaged
288,1,1340.32,1,churned
17,3,292,0,low-engaged
71,1,216.85,0,low-engaged
64,1,295.93,0,low-engaged
73,4,4393.63,0,low-engaged
316,2,458.52,1,churned
3,4,2479.16,0,low-engaged
244,1,110.97,1,churned
9,7,979.72,0,low-engaged
1,4,1791.56,0,low-engaged
261,1,251.21,1,churned
127,1,205.1,0,low-engaged
74,1,152.2,0,low-engaged
73,4,891.12,0,low-engaged
21,3,1389.41,0,low-engaged
60,3,2128.42,0,low-engaged
86,1,659.44,0,low-engaged
78,1,122.75,0,low-engaged
59,6,3624.35,0,low-engaged
1,3,1093.65,0,low-engaged
30,1,125.8,0,low-engaged
33,5,3964.88,0,low-engaged
41,5,680.18,0,low-engaged
15,2,628.78,0,low-engaged
34,7,2287.51,0,low-engaged
79,2,307.76,0,low-engaged
205,2,483.8,1,churned
34,1,210.31,0,low-engaged
183,3,270.79,1,churned
2,25,5870.08,3,Regulars
1,7,3448.29,0,low-engaged
